片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
战火中的芭蕾,"12020000
"
甜蜜蜜,"11940000
"
别有动机,"11860000
"
白雪公主之神秘爸爸,"11116700
"
摩尔庄园3大电影：魔幻列车大冒险,"10550000
"
喜马拉雅天梯,"10500000
"
笔仙魔咒,"10450000
"
龙骑侠,"10400000
"
魔镜,"10350000
"
情敌蜜月,"10290000
"
心迷宫,"10270000
"
闯入者,"10050000
"
幸存者,"9450000
"
黑瞳,"9320000
"
钢刀,"9264000
"
爱我就陪我看电影,"9053000
"
亡命地中海,"8750000
"
惊魂电影院,"8680000
"
开罗宣言,"8650000
"
夺命旅行,"8510000
"
半夜叫你别回头,"8500000
"
奥拉星·进击圣殿,"8410000
"
午夜43路,"8390000
"
长江7号：超萌特攻队,"8280000
"
男神时代,"8220000
"
诱狼,"8220000
"
三更车库,"7871900
"
浪漫天降,"7830000
"
大喜临门,"7742000
"
怪谈,"7540000
"
这里的黎明静悄悄,"7300000
"
蜡笔总动员,"6570000
"
猛龙特囧,"6320000
"
汽车人总动员,"5830000
"
一路向前,"5700000
"
扑通扑通我的人生,"5575000
"
我是谁2015,"5500000
"
金箍棒传奇2：沙僧的逆袭,"5490000
"
擦枪走火,"5432000
"
再见我们的十年,"5340000
"
星语心愿之再爱,"5210000
"
异种,"5070000
"
宝贝，对不起,"4954000
"
藏羚王之雪域精灵,"4750000
"
罪恶赎金,"4700000
"
小猪班纳之梦想大帽险,"4480000
"
恐怖游泳馆,"4230000
"
人皮拼图,"4050000
"
枕边诡影	,"4050000
"
天眼传奇,"4040000
"
冰雪女王,"4010000
"
灵臆事件,"3980000
"
极地大反攻,"3960000
"
荒村怨灵,"3930000
"
十七岁,"3930000
"
使命召唤,"3880000
"
诡影迷情,"3400000
"
红髅,"3390000
"
探灵档案,"3330000
"
安妮：纽约奇缘,"3310000
"
爱之初体验,"3190000
"
我爸比我小四岁,"3180000
"
双生灵,"3090000
"
轩辕剑传奇,"3090000
"
无敌小飞猪,"3074000
"
我只要我们在一起,"3048000
"
狂野飞车,"2952000
"
诡娃娃,"2860000
"
魔卡行动,"2800000
"
对风说爱你,"2770000
"
兔子镇的火狐狸,"2640000
"
诡劫,"2570000
"
索命暹罗之按摩师,"2480000
"
雨夜惊魂,"2460000
"
死亡之谜之双鱼玉佩,"2443000
"
听说,"2430000
"
西游新传2：真心话大冒险,"2420000
"
墓穴迷城,"2400000
"
深海挑战,"2397000
"
新年行动,"2322000
"
亲，别怕鬼宅凶灵,"2250000
"
没女神探,"2000000
"
第七谎言,"1963000
"
菜鸟,"1912000
"
搏击迷城,"1850000
"
摇滚英雄,"1800000
"
热血男人帮,"1750000
"
1980年代的爱情,"1720000
"
回到被爱的每一天,"1630000
"
为了这片土地,"1630000
"
悬战,"1610000
"
超能兔战队,"1580000
"
最美的时候遇见你,"1560000
"
陌路惊笑,"1560000
"
王子与108煞,"1510000
"
枪过境,"1350000
"
诡打墙,"1340000
"
拳霸风云,"1330000
"
落跑吧，爱情,"1302000
"
十万伙急,"1270000
"
迷与狂,"1250000
"
黄金福将,"1240000
"
藏羚王,"1180000
"
东北偏北,"920000
"
恋爱排班表,"830000
"
全能囧爸,"820400
"
我是大熊猫之熊猫大侠,"820000
"
斗地主,"807000
"
全力扣杀,"760000
"
我要你开花,"760000
"
家在水草丰茂的地方,"750000
"
危机行动,"744000
"
少年毛泽东,"740000
"
味道中国,"740000
"
等爱归来,"700000
"
约定倒计时,"670000
"
新年来啦之大闹除夕,"670000
"
奇缘灰姑娘,"670000
"
我的狐朋狗友,"660000
"
默守那份情,"650000
"
老五的奥斯卡,"650000
"
爱情攻略,"643000
"
天亮·分手,"570000
"
少女哪吒,"520000
"
摇滚水果,"510000
"
犹太女孩在上海2：项链密码,"510000
"
我是奋青,"500000
"
顺风车,"500000
"
紫霞,"460000
"
零点杀机,"460000
"
母亲的梦想,"450000
"
时光大战,"443000
"
梦幻佳期,"440000
"
逆转胜,"404000
"
天降,"390000
"
女神跟我走,"370000
"
妈妈让我再爱你一次,"360700
"
我的处女地,"360000
"
非你勿扰,"340000
"
美丽笨女人,"331000
"
电商时代,"320000
"
穷途,"320000
"
青涩日记,"306000
"
启功,"304000
"
囧贼,"270000
"
哺乳期的女人,"270000
"
奔驰的大葱,"256000
"
探秘者,"240000
"
守梦者,"240000
"
红包,"230000
"
遭遇海明威,"220000
"
简单爱,"217000
"
情剑,"210000
"
时间都去哪了,"210000
"
家有虎妻,"204000
"
纯真年代,"200400
"
男人制造,"187000
"
海岛之恋,"185000
"
幸福很囧,"180200
"
激战黎明,"180000
"
爱情魔发师,"180000
"
分手不分手,"170000
"
一刻十年,"165000
"
痞子·洛克,"160000
"
因为谷桂花,"160000
"
龙凤呈祥,"160000
"
桔子的天空,"153000
"
正果,"150000
"
妈咪侠,"140000
"
无法证明,"130000
"
角逐,"120000
"
东莞女孩,"96000
"
小西天狄道传奇,"86000
"
璀璨的婚礼,"83200
"
大变局之梦回甲午,"77000
"
热情奏鸣曲,"75000
"
点对点,"72000
"
鹰笛雪莲,"70000
"
天边的孩子,"70000
"
公路美人,"65000
"
男二本色,"55000
"
君子道：上海滩后传,"40000
"
火云端,"36000
"
心跳戈壁,"33000
"
不能错过,"30000
"
天各一方,"14400
"
天生有福,"12000
"
受降前夕,"10000
"
钢铁，是这样炼成的,"10000
"
莫日根,"8500
"
少年杨靖宇,"7400
"
叶问.,"0
"
致命对决,"0
"
钢铁，是这样炼成的,"10000
"
莫日根,"8500
"
少年杨靖宇,"7400
"
叶问.,"0
"
致命对决,"0
"
美人鱼,"33900000000
"
疯狂动物城,"15300000000
"
魔兽,"14720000000
"
美国队长3：英雄内战,"12460000000
"
西游记之孙悟空三打白骨精,"12000000000
"
长城,"11730000000
"
湄公河行动,"11730000000
"
澳门风云3,"11160000000
"
盗墓笔记,"10010000000
"
功夫熊猫3,"10000000000
"
奇幻森林,"9800000000
"
绝地逃亡,"8890000000
"
星球大战：原力觉醒,"8250000000
"
从你的全世界路过,"8119999999
"
叶问3,"8020000000
"
X战警：天启,"8020000000
"
北京遇上西雅图之不二情书,"7860000000
"
奇异博士,"7510000000
"
铁道飞虎,"6920000000
"
寒战2,"6780000000
"
惊天魔盗团2,"6380000000
"
蝙蝠侠大战超人：正义黎明,"6190000000
"
使徒行者,"6050000000
"
神奇动物在哪里,"5910000000
"
你的名字。,"5760000000
"
大鱼海棠,"5650000000
"
愤怒的小鸟,"5080000000
"
独立日：卷土重来,"5030000000
"
酒国英雄之摆渡人,"4830000000
"
我不是潘金莲,"4790000000
"
冰川时代：星际碰撞,"4470000000
"
谍影重重5,"4470000000
"
星际迷航3：超越星辰,"4390000000
"
血战钢锯岭,"4260000000
"
忍者神龟2,"3930000000
"
爱宠大机密,"3880000000
"
爱丽丝梦游仙境2：镜中奇遇记,"3870000000
"
爵迹,"3810000000
"
荒野猎人,"3770000000
"
火锅英雄,"3700000000
"
大话西游3,"3610000000
"
伦敦陷落,"3400000000
"
机械师2：复活,"3390000000
"
致青春：原来你还在这里,"3350000000
"
我的特工爷爷,"3240000000
"
泰山归来：险战丛林,"3050000000
"
熊出没之熊心归来,"2870000000
"
封神传奇,"2830000000
"
微微一笑很倾城,"2750000000
"
王牌逗王牌,"2600000000
"
卧虎藏龙2：青冥宝剑,"2550000000
"
海底总动员2：多莉去哪儿,"2540000000
"
神战：权力之眼,"2350000000
"
海洋奇缘,"2250000000
"
赏金猎人,"2130000000
"
反贪风暴2,"2089999999
"
陆垚知马俐,"1920000000
"
谁的青春不迷茫,"1800000000
"
最后的巫师猎人,"1790000000
"
驴得水,"1720000000
"
七月与安生,"1670000000
"
危城,"1670000000
"
比利·林恩的中场战事,"1640000000
"
神探夏洛克,"1610000000
"
夏有乔木 雅望天堂,"1510000000
"
圆梦巨人,"1430000000
"
追凶者也,"1360000000
"
但丁密码,"1340000000
"
28岁未成年,"1290000000
"
