片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
一吻定情,,陈玉珊,王大陆 林允 陈柏融,2019-02-14,2小时2分钟,中国,爱情 剧情 喜剧,7.7
蓝色生死恋,,王才涛,许凯 赵露思 焦睿,2019-02-14,1小时44分钟,中国,爱情,6.0
朝花夕誓,,冈田磨里,入野自由 细谷佳正 梶裕贵,2019-02-22,1小时55分钟,日本,动画,7.5
廉政风云,,麦兆辉,刘青云 张家辉 林嘉欣,2019-02-05,1小时54分钟,中国香港,悬疑 犯罪 剧情,5.8
神探蒲松龄,,严嘉,成龙 阮经天 钟楚曦,2019-02-05,1小时48分钟,中国,喜剧 动作 奇幻,5.1
飞驰人生,,韩寒,沈腾 黄景瑜 尹正,2019-02-05,1小时38分钟,中国,喜剧,7.3
小猪佩奇过大年,,张大鹏 内维尔·阿斯特利,朱亚文 刘芸 归亚蕾,2019-02-05,1小时21分钟,中国 英国,动画 家庭 喜剧,5.0
熊出没·原始时代,,丁亮 林汇达,张伟 张秉君 谭笑,2019-02-05,1小时31分钟,中国,动画,6.8
五十米之恋,,李依理,谢楠 方力申 仇佩佩,2019-02-14,1小时32分钟,中国,喜剧 爱情 家庭,7.7
三变山变,,彭兰玉,,2019-02-26,1小时20分钟,中国,纪录,6.7
古井凶灵,,王辰六,程韦然 陈美林 任笑霏,2019-02-22,1小时28分钟,中国,惊悚 悬疑 爱情,5.0
最后的日出,,任文,张珏 张苒,2019-02-22,1小时44分钟,中国,科幻,6.7
篮球冠军,,哈维尔·费舍尔,哈维尔·古铁雷斯 雅典娜·玛塔 胡安·马加略,2019-03-22,1小时58分钟,西班牙,喜剧 运动 剧情,7.0
魔神Z,,志水淳儿,森久保祥太郎 茅野爱衣 上坂堇,2019-03-08,1小时34分钟,日本,科幻 动画 灾难,6.3
江海渔童之巨龟奇缘,,张立衍,杨光普照 张磊 郭政建,2019-03-16,1小时20分钟,中国,动画,5.3
带我回家,,高志丹,黄远 唐加思 李琦,2019-03-08,1小时31分钟,中国,剧情 喜剧 励志,5.0
老师·好,,张栾,于谦 汤梦佳 王广源,2019-03-22,1小时51分钟,中国,剧情,8.0
关云长,,麦兆辉 庄文强,甄子丹 姜文 孙俪,2019-03-01,1小时49分钟,中国 中国香港,动作 剧情 传记,7.1
驯龙高手3,,迪恩·德布洛斯,杰伊·巴鲁切尔 亚美利加·费雷拉 凯特·布兰切特,2019-03-01,1小时44分钟,美国,动画 冒险 奇幻,7.7
少女宿舍,,杨盼盼 曹尚水,陈淋 曹越 田启文,2019-03-15,1小时28分钟,中国,惊悚 悬疑 青春,5.0
乐高大电影2,,罗布·施拉布 迈克·米歇尔,伊丽莎白·班克斯 克里斯·帕拉特 查宁·塔图姆,2019-03-22,1小时48分钟,美国 澳大利亚,动画,7.1
小飞象,,蒂姆·波顿,伊娃·格林 迈克尔·基顿 柯林·法瑞尔,2019-03-29,1小时52分钟,美国,家庭 动画 奇幻,7.1
地久天长,,王小帅,王景春 咏梅 齐溪,2019-03-22,2小时55分钟,中国,剧情 家庭,8.1
惊奇队长,,安娜·波顿 瑞安·弗雷克,布丽·拉尔森 裘德·洛 塞缪尔·杰克逊,2019-03-08,2小时4分钟,美国,动作 奇幻 冒险,7.0
过春天,,白雪,黄尧 孙阳 汤加文,2019-03-15,1小时39分钟,中国,剧情,8.0
狂暴凶狮,,迪克·麦斯,索菲·范·德温 艾比·侯斯 布里特·拉格尔,2019-03-22,1小时45分钟,荷兰,喜剧 惊悚,5.6
